date,筋肉量_kg,摂取カロリー_kcal,睡眠時間_hours,体脂肪率,消費カロリー_kcal,基礎代謝_kcal,活動カロリー_kcal,カロリー収支_kcal,歩数,筋肉量_kg_ma7,筋肉量_kg_ma14,筋肉量_kg_ma28,体脂肪率_ma7,体脂肪率_ma14,体脂肪率_ma28,カロリー収支_kcal_ma7,カロリー収支_kcal_ma14,カロリー収支_kcal_ma28,摂取カロリー_kcal_ma7,摂取カロリー_kcal_ma14,摂取カロリー_kcal_ma28,消費カロリー_kcal_ma7,消費カロリー_kcal_ma14,消費カロリー_kcal_ma28,基礎代謝_kcal_ma7,基礎代謝_kcal_ma14,基礎代謝_kcal_ma28,活動カロリー_kcal_ma7,活動カロリー_kcal_ma14,活動カロリー_kcal_ma28,歩数_ma7,歩数_ma14,歩数_ma28,睡眠時間_hours_ma7,睡眠時間_hours_ma14,睡眠時間_hours_ma28
2025-08-09,51.9,628.0,6.083333333333333,17.5,2200,1600,600,-1572.0,8000,51.9,51.9,51.9,17.5,17.5,17.5,-1572.0,-1572.0,-1572.0,628.0,628.0,628.0,2200.0,2200.0,2200.0,1600.0,1600.0,1600.0,600.0,600.0,600.0,8000.0,8000.0,8000.0,6.083333333333333,6.083333333333333,6.083333333333333
2025-08-09,51.9,2203.0,6.083333333333333,17.5,2200,1600,600,3.0,8000,51.9,51.9,51.9,17.5,17.5,17.5,-784.5,-784.5,-784.5,1415.5,1415.5,1415.5,2200.0,2200.0,2200.0,1600.0,1600.0,1600.0,600.0,600.0,600.0,8000.0,8000.0,8000.0,6.083333333333333,6.083333333333333,6.083333333333333
